Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,2330.000000,2330.000000,2290.000000,2330.000000,2324.301758,10156000
2022-11-08,2330.000000,2330.000000,2280.000000,2320.000000,2314.326172,8680700
2022-11-09,2330.000000,2330.000000,2300.000000,2300.000000,2294.375244,11352500
2022-11-10,2300.000000,2340.000000,2290.000000,2310.000000,2304.350830,11146900
2022-11-11,2330.000000,2360.000000,2330.000000,2360.000000,2354.228516,13046700
2022-11-14,2360.000000,2370.000000,2340.000000,2370.000000,2364.203857,9575400
2022-11-15,2370.000000,2380.000000,2340.000000,2380.000000,2374.179443,11232900
2022-11-16,2370.000000,2380.000000,2350.000000,2370.000000,2364.203857,8864800
2022-11-17,2370.000000,2370.000000,2330.000000,2340.000000,2334.277344,10080600
2022-11-18,2350.000000,2380.000000,2320.000000,2380.000000,2374.179443,11542200
2022-11-21,2380.000000,2390.000000,2340.000000,2350.000000,2344.252930,10005900
2022-11-22,2360.000000,2360.000000,2330.000000,2340.000000,2334.277344,8911900
2022-11-23,2350.000000,2350.000000,2300.000000,2320.000000,2314.326172,9488900
2022-11-24,2320.000000,2340.000000,2300.000000,2340.000000,2334.277344,6668400
2022-11-25,2340.000000,2350.000000,2310.000000,2350.000000,2344.252930,11164300
2022-11-28,2340.000000,2350.000000,2330.000000,2350.000000,2344.252930,7476400
2022-11-29,2350.000000,2350.000000,2320.000000,2350.000000,2344.252930,9392300
2022-11-30,2340.000000,2390.000000,2330.000000,2390.000000,2384.155029,11758600
2022-12-01,2380.000000,2400.000000,2360.000000,2380.000000,2374.179443,9099100
2022-12-02,2380.000000,2380.000000,2340.000000,2380.000000,2374.179443,10171200
2022-12-05,2380.000000,2380.000000,2320.000000,2330.000000,2324.301758,11305100
2022-12-06,2320.000000,2370.000000,2310.000000,2340.000000,2334.277344,10470400
2022-12-07,2340.000000,2360.000000,2300.000000,2360.000000,2354.228516,12807700
2022-12-08,2360.000000,2360.000000,2310.000000,2340.000000,2334.277344,10479000
2022-12-09,2360.000000,2380.000000,2310.000000,2350.000000,2344.252930,12102100
2022-12-12,2330.000000,2420.000000,2320.000000,2420.000000,2414.081787,11057000
2022-12-13,2420.000000,2460.000000,2380.000000,2460.000000,2453.983887,13587300
2022-12-14,2460.000000,2470.000000,2420.000000,2470.000000,2463.959473,10312400
2022-12-15,2480.000000,2480.000000,2430.000000,2450.000000,2444.008301,8496700
2022-12-16,2450.000000,2500.000000,2420.000000,2500.000000,2493.885986,12722500
2022-12-19,2480.000000,2480.000000,2430.000000,2430.000000,2424.057129,9503200
2022-12-20,2420.000000,2450.000000,2390.000000,2430.000000,2424.057129,9638400
2022-12-21,2430.000000,2480.000000,2400.000000,2460.000000,2453.983887,11403700
2022-12-22,2460.000000,2470.000000,2420.000000,2470.000000,2463.959473,9396900
2022-12-23,2460.000000,2490.000000,2420.000000,2490.000000,2483.910400,9652900
2022-12-26,2480.000000,2490.000000,2450.000000,2490.000000,2483.910400,9469900
2022-12-27,2480.000000,2490.000000,2460.000000,2490.000000,2483.910400,10613600
2022-12-28,2490.000000,2490.000000,2470.000000,2490.000000,2483.910400,11260600
2022-12-29,2490.000000,2580.000000,2490.000000,2580.000000,2573.690430,9150500
2022-12-30,2600.000000,2610.000000,2540.000000,2570.000000,2563.714844,10979600
2023-01-02,2550.000000,2560.000000,2500.000000,2510.000000,2503.861572,10137300
2023-01-03,2500.000000,2510.000000,2420.000000,2470.000000,2463.959473,8799500
2023-01-04,2470.000000,2490.000000,2400.000000,2400.000000,2394.130615,9371500
2023-01-05,2380.000000,2390.000000,2300.000000,2350.000000,2344.252930,9539500
2023-01-06,2320.000000,2360.000000,2320.000000,2340.000000,2334.277344,9911900
2023-01-09,2340.000000,2350.000000,2320.000000,2350.000000,2344.252930,10161900
2023-01-10,2340.000000,2350.000000,2320.000000,2320.000000,2314.326172,7164400
2023-01-11,2340.000000,2360.000000,2310.000000,2360.000000,2354.228516,9771000
2023-01-12,2360.000000,2380.000000,2340.000000,2360.000000,2354.228516,9577300
2023-01-13,2360.000000,2360.000000,2330.000000,2350.000000,2344.252930,9410600
2023-01-16,2360.000000,2360.000000,2330.000000,2340.000000,2334.277344,9168700
2023-01-17,2350.000000,2380.000000,2320.000000,2380.000000,2374.179443,10237400
2023-01-18,2370.000000,2380.000000,2340.000000,2340.000000,2334.277344,9251500
2023-01-19,2350.000000,2360.000000,2330.000000,2360.000000,2354.228516,10120000
2023-01-20,2360.000000,2380.000000,2320.000000,2350.000000,2344.252930,11965400
2023-01-24,2350.000000,2370.000000,2330.000000,2350.000000,2344.252930,9529000
2023-01-25,2350.000000,2370.000000,2340.000000,2360.000000,2354.228516,8752000
2023-01-26,2350.000000,2350.000000,2330.000000,2330.000000,2324.301758,10025400
2023-01-27,2350.000000,2360.000000,2330.000000,2350.000000,2344.252930,9119000
2023-01-30,2350.000000,2350.000000,2330.000000,2340.000000,2334.277344,8867400
