Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,7315.000000,7330.000000,7210.000000,7330.000000,6966.031738,157000
2022-11-08,7330.000000,7350.000000,7255.000000,7257.500000,6897.131836,115000
2022-11-09,7257.500000,7257.500000,7230.000000,7232.500000,6873.373047,131000
2022-11-10,7232.500000,7232.500000,7210.000000,7230.000000,6870.997070,538000
2022-11-11,7232.500000,7310.000000,7230.000000,7310.000000,6947.024902,145000
2022-11-14,7310.000000,7320.000000,7305.000000,7305.000000,6942.273438,357000
2022-11-15,7305.000000,7397.500000,7305.000000,7350.000000,6985.039063,96000
2022-11-16,7350.000000,7687.500000,7350.000000,7597.500000,7220.249512,224000
2022-11-17,7597.500000,8470.000000,7595.000000,8397.500000,7980.525391,282000
2022-11-18,8390.000000,8900.000000,8272.500000,8630.000000,8201.480469,327000
2022-11-21,8655.000000,9450.000000,8655.000000,9200.000000,8743.178711,517000
2022-11-22,9200.000000,9750.000000,9200.000000,9255.000000,8795.447266,624000
2022-11-23,9255.000000,9700.000000,9255.000000,9450.000000,8980.763672,488000
2022-11-24,9437.500000,9700.000000,9125.000000,9300.000000,8838.211914,247000
2022-11-25,9300.000000,9300.000000,9112.500000,9145.000000,8690.908203,67000
2022-11-28,9145.000000,9500.000000,9145.000000,9315.000000,8852.467773,113000
2022-11-29,9315.000000,9500.000000,9235.000000,9235.000000,8776.440430,108000
2022-11-30,9240.000000,9312.500000,9240.000000,9310.000000,8847.715820,33000
2022-12-01,9310.000000,9700.000000,9310.000000,9450.000000,8980.763672,2600000
2022-12-02,9675.000000,11325.000000,9425.000000,11325.000000,10762.662109,2032000
2022-12-05,11700.000000,13575.000000,11550.000000,13575.000000,12900.939453,1659900
2022-12-06,13600.000000,16275.000000,13575.000000,14625.000000,13898.801758,3473400
2022-12-07,14900.000000,15800.000000,14600.000000,15225.000000,14469.008789,1579300
2022-12-08,15300.000000,15550.000000,14175.000000,14550.000000,13827.526367,1289900
2022-12-09,14550.000000,14700.000000,13550.000000,13550.000000,12877.180664,1314000
2022-12-12,13450.000000,13600.000000,12625.000000,13000.000000,12354.490234,1222000
2022-12-13,13025.000000,13950.000000,13000.000000,13175.000000,12520.800781,956100
2022-12-14,13250.000000,13625.000000,13175.000000,13300.000000,12639.593750,940800
2022-12-15,13350.000000,13350.000000,13000.000000,13175.000000,12520.800781,273800
2022-12-16,13175.000000,13950.000000,13000.000000,13950.000000,13257.318359,675500
2022-12-19,14000.000000,14350.000000,13600.000000,14150.000000,13447.387695,1095100
2022-12-20,14000.000000,16950.000000,13750.000000,16300.000000,16020.776367,2896500
2022-12-21,16325.000000,18500.000000,16300.000000,18450.000000,18133.947266,3483500
